train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,rollout/success_rate,time/episodes,time/fps,time/total_timesteps
0.001,72.83,3829,-3.2665222799999993,-2.6375412940979004,321664,0.14453798532485962,0.94,4050,84,321765
0.001,74.36,3838,-3.1171694,-2.065580129623413,322446,0.254376620054245,0.94,4060,84,322547
0.001,72.2,3842,-2.8493019700000004,-1.9345632791519165,322834,0.1210576519370079,0.93,4070,84,322935
0.001,71.25,3847,-2.8726076600000003,-2.289693832397461,323273,0.12611538171768188,0.93,4080,84,323374
0.001,66.74,3854,-2.38053625,-2.0357463359832764,323845,0.15015143156051636,0.92,4090,84,323946
0.001,63.37,3860,-2.02163164,-2.223698139190674,324358,0.11070788651704788,0.91,4100,84,324459
0.001,58.76,3864,-1.15174985,-2.104384660720825,324747,0.11706724762916565,0.94,4110,84,324848
0.001,56.36,3873,-0.7388221500000001,-2.357245922088623,325373,0.20162269473075867,0.96,4120,84,325474
0.001,55.15,3878,-0.5021221000000001,-2.3282666206359863,325864,0.1490887999534607,0.97,4130,84,325965
0.001,52.47,3885,-0.22488550000000004,-1.832131266593933,326431,0.17135342955589294,0.97,4140,84,326532
0.001,53.52,3892,-0.12366514999999995,-2.2461795806884766,327016,0.08896611630916595,0.97,4150,84,327117
0.001,49.97,3896,0.031083409999999857,-2.317488670349121,327443,0.13920801877975464,0.97,4160,84,327544
0.001,50.42,3901,-0.07707143999999987,-2.516505241394043,327876,0.11198534071445465,0.97,4170,84,327977
0.001,51.34,3908,-0.5001998699999999,-2.1677136421203613,328407,0.17895004153251648,0.95,4180,84,328508
0.001,51.29,3914,-0.7042635399999999,-2.2645320892333984,328974,0.13502992689609528,0.95,4190,84,329075
0.001,51.38,3920,-0.67134609,-2.1311511993408203,329496,0.33238428831100464,0.96,4200,84,329597
0.001,52.95,3927,-0.9232520300000001,-1.7214398384094238,330042,0.07940709590911865,0.96,4210,84,330143
0.001,51.39,3933,-0.6870576900000002,-2.35557222366333,330512,0.14460429549217224,0.96,4220,84,330613
0.001,50.74,3937,-0.44726653000000005,-2.539151430130005,330938,0.14279907941818237,0.96,4230,84,331039
0.001,50.58,3944,-0.5130706100000001,-2.2304887771606445,331489,0.20338591933250427,0.95,4240,84,331590
0.001,52.36,3953,-0.86598565,-2.0217437744140625,332252,0.1434592604637146,0.95,4250,84,332353
0.001,55.55,3961,-1.3138573399999998,-2.429044246673584,332998,0.10588722676038742,0.95,4260,84,333099
0.001,56.77,3967,-1.3764280199999999,-2.056037664413452,333553,0.09416719526052475,0.96,4270,84,333654
0.001,56.51,3973,-0.9871312599999998,-2.5382962226867676,334058,0.0843655914068222,0.98,4280,84,334159
0.001,56.64,3980,-0.8366810799999999,-2.153017044067383,334638,0.12304183840751648,0.98,4290,84,334739
0.001,58.27,3989,-1.4369668300000003,-2.3004379272460938,335323,0.26540207862854004,0.95,4300,84,335424
0.001,60.15,3997,-1.61822015,-2.2091782093048096,336057,0.10935492068529129,0.94,4310,84,336158
0.001,61.04,4004,-1.5832355599999997,-1.9340336322784424,336616,0.08151751756668091,0.94,4320,84,336717
0.001,62.03,4010,-1.80011825,-2.2356173992156982,337141,0.14824116230010986,0.94,4330,84,337242
0.001,64.24,4019,-1.7223491500000003,-2.3537724018096924,337913,0.11625440418720245,0.95,4340,84,338014
0.001,60.26,4023,-1.10532061,-2.0789084434509277,338278,0.12149069458246231,0.95,4350,84,338379
0.001,57.25,4028,-0.6408221700000002,-2.282421827316284,338723,0.17182642221450806,0.94,4360,84,338824
0.001,57.39,4034,-0.67872984,-2.519670009613037,339292,0.11803101003170013,0.94,4370,84,339393
0.001,56.79,4040,-0.6009156399999999,-2.056645393371582,339737,0.16195981204509735,0.94,4380,84,339838
0.001,57.0,4047,-0.64865591,-2.4461820125579834,340338,0.13426941633224487,0.95,4390,84,340439
0.001,55.13,4053,0.12177349000000001,-1.7898521423339844,340836,0.2782645523548126,0.98,4400,84,340937
0.001,52.79,4058,0.54561081,-2.229084014892578,341336,0.10775868594646454,0.99,4410,84,341437
0.001,52.83,4065,0.46976207999999997,-1.8900675773620605,341899,0.08775416016578674,0.99,4420,84,342000
0.001,52.29,4070,0.31610881,-2.3078196048736572,342370,0.14241400361061096,0.98,4430,84,342471
0.001,48.82,4075,0.45143922000000003,-2.167797327041626,342795,0.12341636419296265,0.98,4440,84,342896
0.001,51.23,4082,-0.21084241000000006,-2.441728115081787,343401,0.1575765758752823,0.97,4450,84,343502
0.001,51.87,4088,-0.30853793,-2.005358934402466,343910,0.1555260717868805,0.97,4460,84,344011
0.001,51.18,4094,-0.06824565000000002,-2.3457300662994385,344410,0.1591494083404541,0.97,4470,84,344511
0.001,51.28,4099,-0.14580315000000002,-2.0785067081451416,344865,0.10546348989009857,0.96,4480,84,344966
0.001,50.21,4105,0.13769010999999998,-2.5570764541625977,345359,0.12027160823345184,0.96,4490,84,345460
0.001,51.17,4112,-0.031345029999999954,-2.226653814315796,345953,0.212439626455307,0.96,4500,84,346054
0.001,52.34,4119,-0.3513204400000001,-2.2437682151794434,346570,0.13532112538814545,0.95,4510,84,346671
0.001,51.4,4125,-0.46248710000000004,-2.361121654510498,347039,0.09521932899951935,0.94,4520,84,347140
0.001,52.33,4131,-0.1228127599999998,-1.9658832550048828,347603,0.11905506253242493,0.95,4530,84,347704
0.001,54.53,4138,-0.58162586,-2.4101901054382324,348248,0.1354966014623642,0.94,4540,84,348349
0.001,54.81,4146,-0.5649039699999999,-2.7117912769317627,348882,0.1829327940940857,0.94,4550,84,348983
0.001,55.63,4153,-0.67628445,-1.8687152862548828,349473,0.17779232561588287,0.95,4560,84,349574
0.001,57.06,4161,-1.05041934,-2.044694662094116,350116,0.2168005108833313,0.94,4570,84,350217
0.001,56.96,4166,-0.9717101999999997,-2.135716438293457,350561,0.13397881388664246,0.95,4580,84,350662
0.001,59.22,4174,-1.3942265300000003,-2.0846774578094482,351281,0.14353829622268677,0.94,4590,84,351382
0.001,59.2,4181,-1.3764837899999998,-2.417809009552002,351873,0.16369402408599854,0.94,4600,84,351974
0.001,57.16,4186,-1.2148853800000001,-2.3422393798828125,352286,0.11946765333414078,0.95,4610,84,352387
0.001,59.93,4194,-1.4779868499999997,-2.2003698348999023,353032,0.22069382667541504,0.95,4620,84,353133
0.001,59.86,4201,-1.6772000200000001,-2.5829782485961914,353589,0.11719124764204025,0.95,4630,84,353690
0.001,57.79,4206,-1.13129701,-2.072615623474121,354027,0.14495636522769928,0.96,4640,84,354128
0.001,58.46,4214,-0.8688103699999998,-2.1540913581848145,354728,0.11859272420406342,0.97,4650,84,354829
0.001,59.2,4222,-0.9710591399999999,-2.0875601768493652,355393,0.18543076515197754,0.97,4660,84,355494
0.001,59.18,4229,-0.8076317899999998,-2.588046073913574,356034,0.2168022096157074,0.98,4670,84,356135
0.001,59.17,4234,-0.86043069,-1.850691318511963,356478,0.06323865801095963,0.98,4680,84,356579
0.001,59.29,4243,-0.79494903,-2.1816344261169434,357210,0.2227645069360733,0.98,4690,84,357311
0.001,63.47,4255,-1.5280500999999997,-1.8102161884307861,358220,0.16125187277793884,0.97,4700,84,358321
0.001,66.22,4263,-1.8397289199999998,-1.8091886043548584,358908,0.07168502360582352,0.96,4710,84,359009
0.001,64.98,4270,-1.6809465599999998,-2.286405563354492,359530,0.13028140366077423,0.96,4720,84,359631
0.001,66.32,4280,-1.9677767599999996,-2.388185739517212,360221,0.12736086547374725,0.96,4730,84,360322
0.001,66.65,4285,-2.0560783599999994,-2.224865674972534,360692,0.16664227843284607,0.96,4740,84,360793
0.001,65.19,4292,-2.0356301799999996,-2.467388153076172,361247,0.12145881354808807,0.95,4750,84,361348
0.001,63.4,4297,-1.9294565200000002,-2.468254566192627,361733,0.2402396947145462,0.94,4760,84,361834
0.001,63.01,4304,-1.9957826600000002,-1.9462312459945679,362335,0.1864216923713684,0.93,4770,84,362436
0.001,64.07,4310,-2.04627933,-1.7843568325042725,362885,0.1549338549375534,0.93,4780,84,362986
0.001,63.17,4318,-1.65448498,-2.278146505355835,363527,0.1782146543264389,0.94,4790,84,363628
0.001,58.11,4324,-0.9419312699999998,-2.1905746459960938,364031,0.20816469192504883,0.95,4800,84,364132
0.001,55.75,4329,-0.5535299200000001,-2.1290621757507324,364483,0.17258533835411072,0.96,4810,84,364584
0.001,54.22,4335,-0.42651137,-1.9500569105148315,364952,0.21818551421165466,0.97,4820,84,365053
0.001,53.22,4341,-0.10104011000000002,-2.389540910720825,365543,0.15454483032226562,0.97,4830,84,365644
0.001,52.66,4346,-0.18349246999999985,-2.5471994876861572,365958,0.12494593858718872,0.96,4840,84,366059
0.001,55.31,4355,-0.22127818,-2.4555280208587646,366778,0.17163696885108948,0.97,4850,84,366879
0.001,56.83,4362,-0.00985817999999986,-2.3520030975341797,367416,0.1535530388355255,0.98,4860,84,367517
0.001,55.84,4368,0.15291765999999993,-2.0761218070983887,367919,0.10901611298322678,0.99,4870,84,368020
0.001,57.3,4376,-0.29049631000000015,-1.99165940284729,368615,0.1149359941482544,0.98,4880,84,368716
0.001,56.11,4382,-0.3998669800000001,-1.8855197429656982,369138,0.09734971821308136,0.98,4890,84,369239
0.001,56.23,4388,-0.3399022600000001,-2.5425148010253906,369654,0.19220846891403198,0.98,4900,84,369755
0.001,57.66,4396,-0.8767877399999999,-2.1607770919799805,370249,0.1732759028673172,0.95,4910,84,370350
0.001,59.54,4404,-1.02872071,-2.209444046020508,370906,0.1293911635875702,0.95,4920,84,371007
0.001,58.73,4409,-1.0226128600000002,-2.415982246398926,371416,0.1960570067167282,0.95,4930,84,371517
0.001,59.01,4414,-1.18285567,-2.4367053508758545,371859,0.14669200778007507,0.94,4940,84,371960
0.001,56.05,4420,-1.2285704,-2.390580177307129,372383,0.15332739055156708,0.93,4950,84,372484
0.001,55.69,4426,-1.2732788099999999,-2.0492944717407227,372985,0.11841340363025665,0.92,4960,84,373086
0.001,55.18,4431,-1.2379486099999997,-1.8675107955932617,373437,0.07394318282604218,0.92,4970,84,373538
0.001,52.45,4436,-0.73735789,-1.9493331909179688,373860,0.10213831812143326,0.93,4980,84,373961
0.001,53.06,4442,-0.8343033299999999,-2.198319911956787,374444,0.27091434597969055,0.93,4990,84,374545
0.001,53.08,4449,-0.9258967099999998,-1.9721364974975586,374962,0.1357090175151825,0.93,5000,84,375063
0.001,51.66,4455,-0.39183094999999996,-2.451388359069824,375415,0.21814753115177155,0.96,5010,84,375516
0.001,49.27,4459,-0.1844026899999999,-1.8743953704833984,375833,0.1350422352552414,0.95,5020,84,375934
0.001,49.91,4466,-0.35539642999999993,-2.045353889465332,376407,0.18535184860229492,0.95,5030,84,376508
0.001,49.65,4471,-0.06283543999999995,-1.9928840398788452,376824,0.21065491437911987,0.97,5040,84,376925
0.001,49.08,4476,0.23696510999999995,-1.765796422958374,377291,0.11236593872308731,0.98,5050,84,377392
0.001,49.12,4483,0.14364144000000004,-2.5830514430999756,377897,0.11093495786190033,0.99,5060,84,377998
0.001,49.82,4489,0.15600532,-1.894934892654419,378419,0.13761699199676514,0.99,5070,84,378520
0.001,51.04,4495,0.04145387000000003,-2.137840747833252,378964,0.16460691392421722,0.99,5080,84,379065
0.001,50.77,4502,0.16560457,-2.137378692626953,379521,0.11094580590724945,0.99,5090,84,379622
0.001,50.28,4508,0.14351962000000004,-2.047072410583496,379990,0.15714575350284576,0.98,5100,84,380091
0.001,52.16,4515,0.05028850000000009,-2.069347858428955,380631,0.12972316145896912,0.98,5110,84,380732
0.001,52.86,4521,-0.06394708999999996,-1.9310808181762695,381119,0.18682271242141724,0.99,5120,84,381220
0.001,51.78,4526,0.29842074,-2.2381467819213867,381585,0.1604701280593872,0.99,5130,84,381686
0.001,53.11,4533,0.2508893000000001,-2.1590728759765625,382135,0.17900268733501434,0.99,5140,84,382236
0.001,52.51,4537,0.27869175000000007,-2.259397268295288,382542,0.10172304511070251,0.99,5150,84,382643
0.001,51.13,4543,0.43911178,-2.288634777069092,383010,0.18972785770893097,0.99,5160,84,383111
0.001,50.84,4548,0.44063333000000005,-1.9924349784851074,383503,0.09204085171222687,0.99,5170,84,383604
0.001,51.45,4555,0.25767918999999995,-2.176461696624756,384109,0.11377527564764023,0.99,5180,84,384210
0.001,50.9,4561,0.19887174999999996,-1.8615049123764038,384611,0.16570429503917694,0.99,5190,84,384712
0.001,54.57,4572,-0.2092339,-2.1043951511383057,385447,0.22302362322807312,0.99,5200,84,385548
0.001,54.38,4578,-0.48057432999999994,-2.104090452194214,386069,0.10841813683509827,0.98,5210,84,386170
0.001,54.12,4583,-0.23498550999999998,-1.950406789779663,386531,0.15846392512321472,0.98,5220,84,386632
0.001,55.15,4590,-0.3693033199999999,-2.2101869583129883,387100,0.17736157774925232,0.98,5230,84,387201
0.001,56.74,4598,-0.5315013099999999,-2.5143706798553467,387809,0.16517981886863708,0.98,5240,84,387910
0.001,57.3,4603,-0.63598716,-1.9373588562011719,388272,0.12029970437288284,0.98,5250,84,388373
0.001,56.83,4608,-0.46123409000000004,-2.1380834579467773,388693,0.32078173756599426,0.98,5260,84,388794
0.001,55.99,4613,-0.35015669999999993,-2.529632568359375,389102,0.2956220209598541,0.98,5270,84,389203
0.001,54.89,4619,-0.1821252100000001,-2.048050880432129,389598,0.20423093438148499,0.97,5280,84,389699
0.001,55.08,4626,-0.25783248999999997,-2.1190478801727295,390119,0.12128043919801712,0.96,5290,84,390220
0.001,52.55,4632,0.08794150999999996,-2.2261059284210205,390702,0.2573506832122803,0.97,5300,84,390803
0.001,51.93,4638,0.22813219,-2.241956949234009,391262,0.15635201334953308,0.98,5310,84,391363
0.001,52.28,4644,0.21488938999999999,-2.08530855178833,391759,0.11397233605384827,0.98,5320,84,391860
0.001,50.77,4648,0.21379863000000007,-2.1124417781829834,392177,0.1545780748128891,0.98,5330,84,392278
0.001,47.76,4653,0.4411790399999999,-2.136867046356201,392585,0.12934786081314087,0.98,5340,84,392686
0.001,49.53,4660,0.22635250000000004,-2.253708600997925,393225,0.1875288188457489,0.98,5350,84,393326
0.001,50.51,4665,-0.11586522000000005,-2.046398162841797,393744,0.13607341051101685,0.98,5360,84,393845
0.001,52.34,4672,-0.12716450999999998,-1.6379436254501343,394336,0.09434458613395691,0.98,5370,84,394437
0.001,51.02,4676,0.16531895000000005,-2.153594970703125,394700,0.15264272689819336,0.99,5380,84,394801
0.001,52.72,4685,0.11149997999999997,-2.1447157859802246,395391,0.1747080683708191,1.0,5390,84,395492
0.001,52.51,4691,0.19503646,-1.8773037195205688,395953,0.10722541064023972,1.0,5400,84,396054
0.001,51.62,4697,0.2986683899999999,-2.0778255462646484,396424,0.23861576616764069,1.0,5410,84,396525
0.001,54.61,4706,-0.16721474000000003,-2.3149819374084473,397220,0.40988147258758545,1.0,5420,84,397321
0.001,57.41,4714,-0.56059881,-1.9322397708892822,397918,0.15567176043987274,1.0,5430,84,398019
0.001,59.09,4721,-1.03064268,-2.2650506496429443,398494,0.20101714134216309,0.99,5440,84,398595
0.001,57.25,4726,-1.03770445,-2.1819403171539307,398950,0.11355497688055038,0.98,5450,84,399051
0.001,56.24,4731,-0.8891086899999999,-2.2297632694244385,399368,0.10466308891773224,0.97,5460,84,399469
0.001,56.14,4738,-1.1830786,-2.0576231479644775,399950,0.2974255383014679,0.96,5470,84,400051
0.001,56.7,4743,-1.41387264,-1.8255698680877686,400370,0.11133301258087158,0.96,5480,84,400471
0.001,59.35,4754,-1.6489420099999998,-2.295860767364502,401326,0.11711329221725464,0.95,5490,84,401427
0.001,60.11,4761,-1.7639024199999995,-1.7738944292068481,401964,0.11115893721580505,0.95,5500,84,402065
0.001,61.16,4768,-1.5810391099999996,-2.056791067123413,402540,0.09759806096553802,0.95,5510,84,402641
0.001,58.24,4774,-1.3700058900000003,-1.4785137176513672,403044,0.18026894330978394,0.94,5520,84,403145
0.001,56.25,4780,-1.2980080800000005,-2.143340587615967,403543,0.07433944940567017,0.92,5530,84,403644
0.001,55.76,4786,-0.78050509,-1.9882395267486572,404070,0.16304494440555573,0.93,5540,84,404171
0.001,57.01,4792,-0.69872162,-2.305558681488037,404651,0.10758860409259796,0.94,5550,84,404752
0.001,57.41,4799,-0.7145697300000002,-2.105692148208618,405109,0.10615458339452744,0.95,5560,84,405210
0.001,57.84,4806,-0.5348683600000002,-2.1851649284362793,405734,0.13055962324142456,0.96,5570,84,405835
0.001,58.64,4812,-0.5047078600000002,-2.489499568939209,406234,0.18286678194999695,0.96,5580,84,406335
0.001,54.29,4818,-0.09543266000000003,-2.3058645725250244,406755,0.14785180985927582,0.96,5590,84,406856
0.001,53.3,4824,0.02970354999999999,-2.3430356979370117,407294,0.1424921303987503,0.96,5600,84,407395
