#{"t_start": 1778231542.2437344, "env_id": "RobotReachPyBullet-Default-v0"}
r,l,t
-11.702852,61,874.503462
-1.315383,72,875.326047
5.664074,59,875.996221
-1.848562,69,876.784439
0.214424,45,877.29413
-13.286365,126,878.748218
-21.427378,500,884.49377
0.559214,89,885.56393
-19.195317,65,886.315051
1.052617,45,886.824542
-8.676187,83,887.785874
6.077005,28,888.10443
-11.389142,110,889.359243
5.380262,30,889.710562
-5.390163,200,892.007638
-26.642271,138,893.586123
-11.056256,89,894.606845
3.614822,34,894.995874
-7.791324,128,896.502515
-19.965093,500,902.219665
-5.556489,73,903.069106
2.675091,40,903.530915
3.392734,159,905.360058
-21.972028,242,911.099161
-20.525311,500,916.583955
-14.975621,500,922.109983
4.439942,34,922.483464
-60.019972,500,927.956241
-14.428492,66,928.724879
-4.6047,128,930.120147
2.311618,42,930.590697
-29.211011,105,931.737444
-13.631021,137,933.231104
4.19518,33,933.590072
-13.463222,63,934.276227
-1.406083,106,935.434515
-2.426063,144,937.016795
3.919282,140,938.563348
4.374458,101,939.72161
-24.675684,430,944.427718
2.200446,62,945.119273
-3.050891,78,945.978097
0.771774,63,946.666012
-8.113475,101,947.775053
-21.787548,132,949.219667
-10.892943,117,950.555639
-25.533736,108,951.774287
-20.530434,84,952.73857
-7.604852,178,954.772911
-0.523679,60,955.45445
-36.987669,171,957.422791
-2.319842,98,958.536534
-0.815705,94,959.613633
4.270681,69,960.406525
3.260537,86,961.386168
2.548526,39,961.875548
-2.479545,94,962.950826
-1.658569,111,964.211963
-8.099812,134,968.23508
-2.050882,85,969.175952
-5.657272,118,970.478425
-2.041347,63,971.168739
-64.937234,500,976.6918
-3.669726,79,977.555094
-2.066238,47,978.068056
4.796139,61,978.733658
-14.378054,81,979.621873
-15.394009,81,980.501864
4.64682,38,980.916638
3.252722,54,981.507156
1.109283,56,982.129896
1.279889,55,982.730106
-14.919552,300,986.157333
-23.429512,500,991.868143
-2.634298,52,992.48717
-4.477813,125,993.914972
-16.727873,76,994.785681
-7.238164,52,995.42219
-4.199499,54,996.045255
-20.418648,89,997.052508
-0.59383,93,998.119413
-12.881068,129,999.594997
1.68044,66,1000.350784
-13.363693,90,1001.378465
-16.7648,69,1002.173711
1.480229,75,1003.025243
-28.413644,500,1008.789584
-52.5281,500,1014.510042
1.750626,52,1015.106745
0.06156,61,1015.805697
-16.729027,77,1016.746955
4.554943,51,1017.328841
1.780771,45,1017.844446
0.702632,94,1018.918885
2.771909,57,1019.577981
3.696442,66,1020.343644
-0.761772,49,1020.902815
1.709176,59,1021.575646
-5.976411,52,1022.173062
2.942325,69,1022.970056
-6.830683,339,1030.734127
-15.279234,207,1033.067218
-0.308228,107,1034.241133
-6.016961,57,1034.865977
-2.608726,47,1035.377649
0.258455,141,1036.91258
-3.708212,117,1038.194622
6.400485,27,1038.486628
-5.604085,176,1040.405113
-47.565307,500,1045.85137
-30.036549,500,1051.298047
-36.716474,369,1055.363905
-5.895898,97,1056.422402
-0.157434,138,1057.922566
-2.706972,52,1058.494084
-0.376109,93,1059.504388
6.03228,41,1059.949705
-0.69166,229,1062.458418
0.78801,99,1063.608433
-1.97183,136,1065.171573
-9.285933,203,1067.496264
-0.839586,90,1068.531214
3.823264,52,1069.122547
2.668803,95,1070.22735
-17.944745,65,1070.973098
3.071135,40,1071.437038
0.964208,59,1072.111287
-3.371754,141,1073.713388
0.485994,230,1076.34168
1.203378,56,1076.98808
-9.007916,198,1079.264686
-1.515468,120,1080.691419
-0.165817,42,1081.169178
-6.27991,118,1082.513353
0.278664,69,1083.294704
2.896404,75,1085.46119
5.59634,76,1086.293642
1.86255,39,1086.715125
-15.061174,55,1087.313541
-5.256682,148,1088.921973
-0.875305,79,1089.794706
1.317232,84,1090.711712
2.875595,52,1091.297549
-15.526997,64,1092.031131
0.18684,99,1093.123308
4.682069,68,1093.864732
-0.776734,44,1094.342117
-14.748245,58,1094.97063
1.844835,116,1096.23609
-5.804432,75,1097.050039
-3.993274,92,1098.058085
2.100621,84,1098.974323
-1.043099,70,1099.7464
-17.066287,64,1100.449457
-0.319534,112,1101.671385
1.921803,74,1102.531145
-0.28216,88,1103.494831
2.28253,77,1104.334404
-7.008336,105,1105.478234
-1.229148,121,1106.793978
-16.67083,43,1107.27077
0.082645,62,1107.945421
4.038669,34,1108.314463
0.4952,42,1108.772274
4.341553,47,1109.289824
5.602156,31,1109.625953
-5.586791,99,1110.714675
2.707766,82,1111.607052
-12.545561,70,1112.369385
-3.592307,82,1113.321737
-0.279454,102,1114.483748
-17.34369,62,1115.192044
0.038015,65,1115.932538
-16.868121,60,1116.612962
-3.403484,105,1117.817178
-0.354997,62,1118.524312
3.155762,85,1119.491198
-4.852713,51,1120.080168
-2.498572,101,1121.237317
-19.375369,78,1122.128533
4.337843,69,1122.921097
-3.031426,106,1124.188476
-0.836834,114,1125.484566
0.371939,55,1126.111461
3.699784,40,1126.568091
-49.527041,321,1130.242004
2.656668,36,1130.656538
-8.25869,214,1133.107249
-1.67841,88,1134.10902
-1.173047,47,1134.695497
-6.473059,132,1136.215978
-0.624879,45,1136.731166
-5.560743,87,1137.719853
-8.700638,115,1139.039948
-0.579322,44,1139.538894
5.754717,34,1139.930096
-1.763724,134,1147.287065
3.463703,40,1147.722386
1.084102,61,1148.390224
2.240807,37,1148.791182
-43.454231,361,1152.751282
1.16716,39,1153.177174
-9.248796,60,1153.831475
-14.663665,200,1156.01193
-1.455138,48,1156.536034
0.541648,43,1157.006711
1.472637,45,1157.498127
2.842002,39,1157.922477
-0.73086,72,1158.707438
-17.830849,70,1159.465209
-2.856264,112,1160.693397
-2.768579,83,1161.599971
-38.315488,228,1164.079158
-26.474761,481,1169.37657
3.452631,53,1169.95141
-9.770014,61,1170.614946
4.547309,31,1170.95506
2.243165,38,1171.3689
0.138179,72,1172.155163
-2.175149,65,1172.86067
-3.708342,55,1173.46747
-21.709914,83,1174.368492
-4.577849,50,1174.919557
-0.795021,253,1177.730067
-9.747297,68,1178.469185
-17.94746,66,1179.185176
-16.671473,90,1180.167051
-13.29953,58,1180.804425
5.679812,31,1181.141436
1.113791,73,1181.941328
0.86877,39,1182.375057
-10.102331,55,1182.970098
-0.502113,57,1183.594962
3.943348,34,1183.964987
-11.278835,66,1184.683508
-10.256072,61,1185.343231
-13.509635,96,1186.389852
-20.192631,67,1187.164291
-18.795211,51,1187.731221
-8.56279,84,1188.695351
-3.633806,90,1189.729789
-65.285187,500,1195.464066
-1.274742,48,1196.009024
2.473888,63,1196.738995
-0.040653,43,1197.229187
-4.938912,50,1197.799875
2.856829,63,1198.569641
4.89693,30,1198.913975
-2.018187,46,1199.440637
1.583549,76,1200.307385
-5.685113,111,1201.581018
-19.713238,110,1204.51461
-19.876649,109,1205.704243
-18.10971,64,1206.400434
-17.945503,69,1207.15809
-55.437358,376,1211.315005
-18.952644,300,1214.59131
0.780595,125,1215.955283
-1.366129,67,1216.697023
-11.707994,61,1217.362296
-11.146373,33,1217.725353
-0.589029,130,1219.141319
-15.897747,293,1222.399733
2.154043,38,1222.833829
-29.912442,154,1224.598255
-2.046702,85,1225.57073
-0.218378,77,1226.455368
-5.053782,88,1227.474406
4.835756,32,1227.843361
-4.162048,81,1228.774915
-4.601411,51,1229.3647
-7.774412,87,1230.363069
5.335692,32,1230.725558
-5.728529,111,1231.995981
-6.772157,96,1233.15087
-8.293788,89,1234.167463
-13.297431,182,1236.245992
0.32008,72,1237.071886
-36.843186,241,1239.819951
-20.59597,74,1240.669369
-18.037159,71,1241.480399
-0.95357,74,1242.330892
0.760944,59,1243.002329
1.323149,70,1243.810463
3.105589,38,1244.243338
-19.808655,67,1245.039427
-1.637747,111,1246.306614
-0.119885,43,1246.799941
6.3986,28,1247.11867
0.854689,63,1247.83638
6.129071,27,1248.150665
4.219681,75,1249.01411
3.489726,52,1249.605394
4.430895,31,1249.956683
3.675703,87,1250.955104
3.335282,63,1251.67453
0.19366,62,1252.380664
1.720547,91,1253.42104
3.291796,57,1254.068774
2.585419,38,1254.503758
-1.086011,64,1255.246857
-0.634166,46,1255.773382
4.957605,29,1256.154718
-19.728681,368,1260.353688
6.360651,28,1262.796797
-3.309168,105,1263.942582
-1.176957,54,1264.53569
-2.064263,101,1265.637108
-6.440931,161,1267.392552
4.874458,32,1267.793512
-2.130649,47,1268.311694
-14.311905,125,1269.677408
4.243747,32,1270.025864
3.357872,39,1270.449712
-4.804247,123,1271.787986
3.011836,47,1272.30121
-0.097569,42,1272.757462
-15.800169,222,1275.184625
5.966905,27,1275.483819
6.49589,61,1276.147211
-19.269204,72,1276.937282
-2.651027,51,1277.492252
-0.784546,111,1278.71674
-3.982416,51,1279.293269
1.327705,38,1279.70919
-5.840705,58,1280.344977
-12.651898,72,1281.130409
-6.714443,122,1282.455486
-3.287182,50,1282.999159
-0.828237,46,1283.498971
5.005782,42,1283.965774
5.225382,55,1284.573269
2.197568,63,1285.258104
1.3028,57,1285.880648
0.519126,41,1286.335831
-3.141995,81,1287.218308
-2.485627,54,1287.80678
2.43367,58,1288.43814
-5.659507,142,1289.98516
5.85105,56,1290.64342
2.715987,40,1291.092284
6.305214,40,1291.552956
-0.071541,81,1292.480901
-0.566145,44,1292.997149
1.474231,73,1293.831656
-6.007951,125,1295.266508
-2.276432,49,1295.82721
-7.985982,187,1297.979443
-9.436119,147,1299.660471
-3.406936,86,1300.64149
2.918165,72,1301.471097
5.442866,29,1301.815893
7.431681,22,1302.102538
-13.432549,53,1302.716041
4.84125,31,1303.073117
-5.1061,53,1303.674479
-12.836095,54,1304.285891
-1.408941,46,1304.808402
-20.361176,167,1306.717106
2.068683,41,1307.181298
-12.96918,38,1307.622154
-12.578134,37,1308.042361
5.540983,54,1308.65986
1.426882,43,1309.151254
1.115484,73,1309.989248
6.730615,32,1310.361494
2.650016,39,1310.811116
2.399015,74,1311.653217
3.041897,68,1312.431284
0.855378,40,1312.889095
3.299629,76,1313.801451
-2.704029,87,1314.796736
-15.39555,175,1316.804578
4.966234,29,1317.134249
2.879794,57,1317.78415
-0.765844,47,1318.321862
-6.532539,67,1320.374151
-2.066669,99,1321.454254
4.874677,68,1322.195279
-2.301283,48,1322.721923
3.259668,39,1323.159322
-0.071383,83,1324.063384
0.355475,44,1324.544134
-9.663133,147,1326.201962
-4.184867,90,1327.18045
-0.452735,46,1327.683403
-32.46489,137,1329.17291
2.574041,75,1329.994102
-2.570586,65,1330.70071
-6.051792,148,1332.324903
2.046884,78,1333.178569
-0.19978,63,1333.869818
-10.255542,124,1335.22035
0.509855,44,1335.697453
2.803548,46,1336.198461
-159.997399,500,1341.655285
2.541469,79,1342.51826
-9.467039,118,1343.806103
-26.49218,264,1346.730736
-1.60544,72,1347.513772
-3.997829,94,1348.546971
-16.856485,71,1349.319386
-3.946678,82,1350.212955
5.586118,30,1350.539684
0.94417,43,1351.007722
-26.618339,293,1354.20945
-9.359896,131,1355.632246
-4.68656,198,1357.854609
-6.51155,170,1359.721726
0.019137,41,1360.167566
5.958552,27,1360.470726
-14.456892,73,1361.26344
3.094661,34,1361.632776
4.213492,73,1362.429372
6.667166,35,1362.813641
-0.07371,43,1363.282642
2.818578,68,1364.021766
-3.137783,47,1364.533908
5.506316,30,1364.859525
-4.721533,55,1365.463696
1.946348,68,1366.210278
-0.687085,59,1366.852994
-1.74257,59,1367.501897
2.02278,39,1367.934772
-18.542876,290,1371.140794
-15.003499,92,1372.145191
-0.380239,72,1372.930181
-49.690973,230,1378.375774
-3.748395,77,1379.214989
-44.463926,197,1381.419351
-23.474994,331,1385.02968
-12.553156,127,1386.414302
-11.617282,124,1387.764689
4.128757,32,1388.115957
-4.106795,82,1389.010807
