rollout/n_episodes,reward/success_reward,rollout/workspace_violation_rate,train/actor_loss,reward/detour_penalty,rollout/all_expected_path_length_mean,reward/workspace_penalty,rollout/collision_rate,rollout/all_actual_path_length_mean,reward/action_norm_penalty,time/time_elapsed,train/critic_loss,reward/smoothness_penalty,time/total_timesteps,train/learning_rate,reward/distance_penalty,rollout/success_rate,reward/path_efficiency_bonus,reward/path_length_penalty,reward/backtrack_penalty,train/n_updates,reward/progress_reward,reward/direction_penalty,time/fps,time/episodes,rollout/ep_len_mean,rollout/reward_steps,rollout/max_steps_rate,rollout/action_norm_mean,reward/step_penalty,reward/collision_penalty,rollout/ep_rew_mean,rollout/distance_improvement_mean,rollout/success_expected_path_length_mean,rollout/success_actual_path_length_mean,rollout/success_path_efficiency_percent_mean
,,,-9.162355422973633,,,,,,,364,1.3687595129013062,,271164,0.0003,,1.0,,,,21763,,,744,1350,38.36,,,,,,46.25779674000001,,,,
105,0.29072328429213284,0.047619047619047616,-7.690696716308594,0.0,0.34257623521345004,-0.02202449123425249,0.0,0.7734272599293729,0.0,367,50.836212158203125,0.0,273588,0.0003,-0.9304131498679197,1.0,0.0,0.0,0.0,21965,0.0,0.0,744,1400,40.24,295126,0.3238095238095238,0.35772118759132726,0.0,0.0,42.559693280000005,0.2924123887371804,0.33476645668799226,0.4380505320300334,82.3771940612291
110,0.31035537876469815,0.045454545454545456,-10.878747940063477,0.0,0.3425816527483138,-0.02185601258906325,0.0,0.7550989731644884,0.0,369,51.28315734863281,0.0,275244,0.0003,-0.9363801754575404,1.0,0.0,0.0,0.0,22103,0.0,0.0,744,1450,40.14,297401,0.3090909090909091,0.36307596623313443,0.0,0.0,43.5015243,0.2937954746313732,0.335324834455067,0.433272674218194,83.10064536325945
115,0.32940360610263525,0.043478260869565216,-10.588767051696777,0.0,0.3431460498791674,-0.02167128987517337,0.0,0.7395207589447913,0.0,372,45.136844635009766,0.0,276924,0.0003,-0.9456345048584428,1.0,0.0,0.0,0.0,22243,0.0,0.0,743,1500,37.73,299936,0.2956521739130435,0.3686064886404011,0.0,0.0,46.905315679999994,0.29564712135445165,0.33665627868551956,0.43087315921117186,83.62226666442064
,,,-12.98509693145752,,,,,,,375,157.447265625,,279588,0.0003,,1.0,,,,22465,,,744,1550,41.3,,,,,,45.41081062,,,,
125,0.36683159870329296,0.04,-8.079891204833984,0.0,0.3342316481173038,-0.02132741852926122,0.0,0.7031380347041413,0.0,377,37.95887756347656,0.0,281364,0.0003,-0.9448973281727555,1.0,0.0,0.0,0.0,22613,0.0,0.0,744,1600,43.86,304772,0.272,0.3749029865467991,0.0,0.0,46.48120904000001,0.2889630581140518,0.32445392393788625,0.4138805483652991,84.14457625894082
,,,-14.50792407989502,,,,,,,382,38.148216247558594,,284412,0.0003,,1.0,,,,22867,,,744,1650,42.44,,,,,,51.17821769999998,,,,
130,0.38323857654243,0.038461538461538464,-12.602347373962402,0.0,0.3316521995056134,-0.021057064645188462,0.0,0.6901221723788274,0.0,384,74.82536315917969,0.0,286176,0.0003,-0.9420797176322584,1.0,0.0,0.0,0.0,23014,0.0,0.0,743,1700,47.87,308685,0.26153846153846155,0.37783063495161817,0.0,0.0,49.1578583,0.28733071239951713,0.32130623494203275,0.4111797278092926,83.79169903647208
135,0.4025326009476288,0.037037037037037035,-15.749628067016602,0.0,0.3274925170397317,-0.020965239632689002,0.0,0.6735688220735432,0.0,387,2.8007688522338867,0.0,287868,0.0003,-0.9432329486841463,1.0,0.0,0.0,0.0,23155,0.0,0.0,743,1750,41.92,310037,0.2518518518518518,0.38128136547597946,0.0,0.0,49.82647014,0.2840553558983461,0.3159955337954064,0.4024298312638166,84.26695261271941
140,0.42023799617208957,0.03571428571428571,-18.04728889465332,0.0,0.32958255029682604,-0.020803861196638095,0.0,0.6643852783192414,0.0,389,65.88900756835938,0.0,289416,0.0003,-0.9508878310298423,1.0,0.0,0.0,0.0,23284,0.0,0.0,743,1800,33.2,312442,0.24285714285714285,0.3870098230595155,0.0,0.0,49.234768810000006,0.28698491922779273,0.3194617671836721,0.40312288897120657,84.73443101208585
145,0.4377271225635943,0.034482758620689655,-14.049710273742676,0.0,0.33217383836363923,-0.020647505781301617,0.0,0.6569332519811096,0.0,392,32.338783264160156,0.0,291168,0.0003,-0.9602518066982171,1.0,0.0,0.0,0.0,23430,0.0,0.0,742,1850,34.42,314808,0.23448275862068965,0.39335696845493695,0.0,0.0,44.11330542999999,0.29030822232879444,0.3234838491200276,0.4052527769684807,85.07763648460919
150,0.4552912223133716,0.03333333333333333,-17.26653480529785,0.0,0.33318195226291814,-0.020508613617719443,0.0,0.6481007599155418,0.0,394,38.96314239501953,0.0,292716,0.0003,-0.9680206715316497,1.0,0.0,0.0,0.0,23559,0.0,0.0,741,1900,32.51,316940,0.22666666666666666,0.39874945018930213,0.0,0.0,48.76297152,0.2920602531172335,0.3252376061570537,0.4046539352137778,85.45731026697597
155,0.47323759791122716,0.03225806451612903,-19.98696517944336,0.0,0.3317542957442422,-0.020398172323759792,0.0,0.6373854656621153,0.0,396,102.51797485351562,0.0,294192,0.0003,-0.9741008580776218,1.0,0.0,0.0,0.0,23682,0.0,0.0,741,1950,30.42,318656,0.21935483870967742,0.403046463667599,0.0,0.0,52.77532589999999,0.2913305654010225,0.32367239038235157,0.4008294827502235,85.72030128562344
,,,-19.82802963256836,,,,,,,399,2.214020252227783,,295896,0.0003,,1.0,,,,23824,,,741,2000,32.0,,,,,,48.30547827,,,,
160,0.4900968042448054,0.03125,-18.843164443969727,0.0,0.3330619251355529,-0.0202519340597027,0.0,0.6300549096318718,0.0,401,66.43731689453125,0.0,297468,0.0003,-0.9829575380226597,1.0,0.0,0.0,0.0,23955,0.0,0.0,741,2050,32.07,320957,0.2125,0.40831458378125096,0.0,0.0,49.35843595,0.29329054867848753,0.32573545012961735,0.4009112261363434,86.12022514686417
165,0.5060647441561571,0.030303030303030304,-22.478801727294922,0.0,0.3351129481286714,-0.020081934291910998,0.0,0.6244555159172953,0.0,403,32.29875183105469,0.0,298908,0.0003,-0.991773852313897,1.0,0.0,0.0,0.0,24075,0.0,0.0,740,2100,30.4,323674,0.20606060606060606,0.41382907151581755,0.0,0.0,52.219169199999996,0.2959928343594639,0.32871204670814297,0.4026716900615221,86.31119269179577
170,0.5236020624325513,0.029411764705882353,-22.836158752441406,0.0,0.3334955822895555,-0.01998481154322715,0.0,0.6153314095905551,0.0,405,76.24029541015625,0.0,300480,0.0003,-0.993918166806406,1.0,0.0,0.0,0.0,24206,0.0,0.0,740,2150,30.76,325247,0.2,0.4181076052477191,0.0,0.0,50.87166534,0.2948762524064959,0.32685748422305094,0.3992962782579574,86.44352453875123
,,,-20.865873336791992,,,,,,,407,2.7784504890441895,,301908,0.0003,,1.0,,,,24325,,,740,2200,29.86,,,,,,53.08988695000001,,,,
175,0.5397896408017464,0.02857142857142857,-21.231760025024414,0.0,0.3337290916272572,-0.019845207382417147,0.0,0.6089165789272271,0.0,410,27.02298927307129,0.0,303492,0.0003,-1.0001329654611657,1.0,0.0,0.0,0.0,24457,0.0,0.0,739,2250,30.86,327535,0.19428571428571428,0.42294266116403384,0.0,0.0,50.225053079999995,0.2957714490046991,0.3274020035203327,0.3989843686298734,86.4337539105169
180,0.556454477287975,0.027777777777777776,-26.25023651123047,0.0,0.333404509557618,-0.01973242827262323,0.0,0.6018351353379128,0.0,413,111.965576171875,0.0,305076,0.0003,-1.0029851155792546,1.0,0.0,0.0,0.0,24589,0.0,0.0,738,2300,31.58,329407,0.18888888888888888,0.4275240797420919,0.0,0.0,50.29844328,0.29591058923267866,0.3272120082579183,0.3973886324980309,86.60829819701188
185,0.572369452720715,0.02702702702702703,-25.164196014404297,0.0,0.332370247470366,-0.01960169358632586,0.0,0.5949452509059778,0.0,415,44.56303405761719,0.0,306516,0.0003,-1.0056098543757004,1.0,0.0,0.0,0.0,24709,0.0,0.0,737,2350,29.93,331604,0.1837837837837838,0.43149158559022954,0.0,0.0,57.46921061,0.29531502394332876,0.3261135426439243,0.3956598920479723,86.61235344409907
,,,-28.11786460876465,,,,,,,418,43.49591064453125,,308232,0.0003,,1.0,,,,24852,,,736,2400,31.13,,,,,,52.11188018,,,,
190,0.5870689320010886,0.02631578947368421,-26.48851776123047,0.0,0.3353022993395203,-0.019439368609307568,0.0,0.5922412548839929,0.0,420,40.64481735229492,0.0,309888,0.0003,-1.015739541418414,1.0,0.0,0.0,0.0,24990,0.0,0.0,736,2450,32.79,334373,0.17894736842105263,0.4374862590815993,0.0,0.0,45.92065444000001,0.2986554955561204,0.3300100550894311,0.3988563658897796,86.71667758858372
195,0.6029684601113172,0.02564102564102564,-28.9710636138916,0.0,0.3341964448491732,-0.01932591218305504,0.0,0.5854365328052947,0.0,422,2.4122538566589355,0.0,311496,0.0003,-1.019377863718213,1.0,0.0,0.0,0.0,25124,0.0,0.0,736,2500,32.37,336336,0.17435897435897435,0.44124971472157276,0.0,0.0,46.63582461,0.29798726093095657,0.3287973601896411,0.39654869691301614,86.85269632550586
200,0.6192069535787085,0.025,-31.168664932250977,0.0,0.3320813635364175,-0.019230029614245605,0.0,0.5780527767085732,0.0,424,57.95722198486328,0.0,312888,0.0003,-1.0206253759664945,1.0,0.0,0.0,0.0,25240,0.0,0.0,736,2550,30.92,338013,0.17,0.44463888955720576,0.0,0.0,49.40684238,0.296336394950049,0.3263376034240915,0.39324241095101053,86.83372366605117
205,0.6352121838288753,0.024390243902439025,-29.470935821533203,0.0,0.3311113056249735,-0.019132897103279378,0.0,0.5718186893103582,0.0,427,20.31058120727539,0.0,314388,0.0003,-1.0228254545092952,1.0,0.0,0.0,0.0,25365,0.0,0.0,736,2600,29.36,339729,0.16585365853658537,0.44856248291372774,0.0,0.0,52.261642470000005,0.29573855816795513,0.3253126451633422,0.3911102658435029,86.9642756750611
210,0.6503384802616566,0.023809523809523808,-31.057785034179688,0.0,0.3318558041538511,-0.019015745036890547,0.0,0.5677704868805622,0.0,429,27.750545501708984,0.0,316020,0.0003,-1.0306061191719058,1.0,0.0,0.0,0.0,25501,0.0,0.0,735,2650,31.05,341822,0.1619047619047619,0.4534563194618415,0.0,0.0,48.54893695,0.29690602169083874,0.326396493077801,0.3914226612065271,87.0037075069952
,,,-29.662370681762695,,,,,,,432,43.078121185302734,,317616,0.0003,,1.0,,,,25634,,,734,2700,31.96,,,,,,45.97107886,,,,
215,0.6646274687511801,0.023255813953488372,-29.66074562072754,0.0,0.3339356945004574,-0.01888146218043125,0.0,0.5649603434784884,0.0,434,49.957244873046875,0.0,319044,0.0003,-1.0377759781317852,1.0,0.0,0.0,0.0,25753,0.0,0.0,733,2750,30.44,344253,0.15813953488372093,0.4586929356423146,0.0,0.0,49.79887111000001,0.29931355357971473,0.3290923622817817,0.39299969698450615,87.19858782680325
220,0.6806814335677485,0.022727272727272728,-32.04624938964844,0.0,0.33175069137730384,-0.01880335451844609,0.0,0.5582065880309859,0.0,436,33.56672668457031,0.0,320484,0.0003,-1.0394754270580762,1.0,0.0,0.0,0.0,25873,0.0,0.0,733,2800,29.39,345683,0.15454545454545454,0.46183088949216144,0.0,0.0,52.880594669999994,0.29746248690432614,0.32657035108840926,0.3895410065647235,87.31231590598257
225,0.694496303487417,0.022222222222222223,-32.25813674926758,0.0,0.3332601970103052,-0.018669255470091854,0.0,0.5558415900719895,0.0,439,17.019432067871094,0.0,322032,0.0003,-1.0472881294243652,1.0,0.0,0.0,0.0,26002,0.0,0.0,733,2850,29.73,348166,0.1511111111111111,0.46697169838383623,0.0,0.0,51.30118952000001,0.2993015585746616,0.32853562242641887,0.3912141429440629,87.37771325229872
230,0.7096678308686929,0.021739130434782608,-34.77825927734375,0.0,0.33201496533077696,-0.018577691907557405,0.0,0.5509928053336689,0.0,441,38.845184326171875,0.0,323520,0.0003,-1.049117021730712,1.0,0.0,0.0,0.0,26126,0.0,0.0,733,2900,29.83,349882,0.14782608695652175,0.4708640401080257,0.0,0.0,53.066469420000004,0.29839647806998665,0.3271598087438426,0.3896849112468162,87.30210574774603
235,0.7237012147841819,0.02127659574468085,-39.149330139160156,0.0,0.3323375718707734,-0.01846176568326995,0.0,0.5477121607747866,0.0,443,51.30595016479492,0.0,325128,0.0003,-1.0556834867102605,1.0,0.0,0.0,0.0,26260,0.0,0.0,733,2950,31.37,352079,0.14468085106382977,0.4752514874658907,0.0,0.0,49.40841746,0.29905597608278883,0.3276704634368724,0.38986648267078006,87.34025791764272
240,0.7386447155666618,0.020833333333333332,-37.23337173461914,0.0,0.33057244181012113,-0.01837424665588711,0.0,0.5423619957146608,0.0,445,28.227243423461914,0.0,326832,0.0003,-1.0561305387373585,1.0,0.0,0.0,0.0,26402,0.0,0.0,732,3000,34.36,353756,0.14166666666666666,0.47834367761970925,0.0,0.0,43.264757149999994,0.2975467146752635,0.32567894267872793,0.38740473528814257,87.36584469244542
,,,-39.837642669677734,,,,,,,448,19.83420753479004,,328584,0.0003,,1.0,,,,26548,,,732,3050,33.77,,,,,,43.94284071,,,,
